season,teamId,Team,Attendance,Attn_avg,TV_revenue,RANK,ROSTER,26-MAN PAYROLL,INJURED RESERVE,RETAINED,BURIED,SUSPENDED,2021 TOTAL PAYROLL
2020,139,Tampa Bay Rays,na,na,48,28,28,"$21,769,463 ","$1,958,020 ","$2,086,951 ","$9,537,125 ",-,"$28,290,689 "
2020,140,Texas Rangers,na,na,66,15,28,"$30,877,925 ","$16,905,177 ","$15,338,320 ","$4,301,000 ",-,"$64,214,137 "
2020,141,Toronto Blue Jays,na,na,72,19,28,"$33,467,052 ","$5,114,444 ","$14,667,030 ","$6,643,100 ",-,"$54,997,060 "
2020,142,Minnesota Twins,na,na,43,17,28,"$45,057,558 ","$6,876,058 ","$7,313,300 ","$6,669,000 ",-,"$55,679,689 "
2020,143,Philadelphia Phillies,na,na,70,8,28,"$57,105,401 ","$13,236,891 ","$2,662,073 ","$6,399,500 ",-,"$73,543,547 "
2020,144,Atlanta Braves,na,na,86,16,28,"$50,458,292 ","$7,255,497 ","$1,000,284 ","$17,610,000 ",-,"$63,561,931 "
2020,145,Chicago White Sox,na,na,120,20,28,"$43,034,329 ","$1,819,815 ","$7,812,642 ","$6,821,500 ",-,"$53,665,251 "
2020,146,Miami Marlins,na,na,20,27,28,"$14,721,932 ","$2,897,429 ","$12,335,262 ","$10,427,000 ",-,"$31,555,593 "
2020,147,New York Yankees,na,na,115,1,28,"$77,215,694 ","$9,920,725 ","$23,982,977 ","$6,593,300 ",-,"$111,939,081 "
2020,158,Milwaukee Brewers,na,na,28,23,28,"$28,464,819 ","$1,203,704 ","$4,484,938 ","$4,963,300 ",-,"$41,434,086 "
2021,108,Los Angeles Angels,"774,531","16,136",138,6,26,"$59,004,354 ","$91,159,095 ","$29,921,541 ","$9,865,000 ",-,"$182,806,818 "
2021,109,Arizona Diamondbacks,"588,357","13,075",58,22,26,"$62,889,980 ","$15,193,448 ","$12,994,735 ","$7,254,700 ",-,"$92,556,955 "
2021,110,Baltimore Orioles,"377,711","8,784",54,28,26,"$20,556,843 ","$25,923,251 ","$10,952,997 ","$5,391,000 ",-,"$58,132,982 "
2021,111,Boston Red Sox,"688,934","14,658",104,7,26,"$117,592,065 ","$28,132,164 ","$30,928,067 ","$4,530,500 ",-,"$178,056,241 "
2021,112,Chicago Cubs,"886,432","19,698",100,12,26,"$134,473,667 ","$11,257,799 ","$7,107,864 ","$4,423,000 ",-,"$153,722,288 "
2021,113,Cincinnati Reds,"775,213","17,227",48,17,26,"$93,831,054 ","$28,786,662 ","$559,407 ","$3,467,500 ",-,"$123,831,289 "
2021,114,Cleveland Indians,"472,293","10,984",47,30,26,"$38,698,124 ","$11,003,600 ","$667,205 ","$5,822,200 ",-,"$52,808,087 "
2021,115,Colorado Rockies,"1,037,242","20,745",42,18,26,"$81,657,330 ","$11,674,500 ","$14,435,634 ","$2,282,000 ",-,"$116,077,231 "
2021,116,Detroit Tigers,"463,218","10,294",64,23,27,"$59,782,487 ","$19,325,436 ","$2,006,134 ","$7,849,700 ",-,"$86,517,740 "
2021,117,Houston Astros,"1,172,146","24,420",70,4,26,"$132,793,282 ","$57,122,787 ","$250,000 ","$5,731,400 ",-,"$191,032,043 "
2021,118,Kansas City Royals,"598,047","13,290",44,21,26,"$85,047,141 ","$5,120,240 ","$141,082 ","$7,277,400 ",-,"$92,808,903 "
2021,119,Los Angeles Dodgers,"1,059,604","24,082",239,1,26,"$153,270,961 ","$54,998,906 ","$1,110,629 ","$20,659,000 ",-,"$250,335,094 "
2021,120,Washington Nationals,"679,759","14,162",77,9,26,"$115,170,242 ","$49,886,380 ","$247,570 ","$4,002,100 ",-,"$171,759,641 "
2021,121,New York Mets,"558,198","13,290",54,3,26,"$131,896,065 ","$56,434,090 ","$6,647,481 ","$9,042,100 ",-,"$196,583,349 "
2021,133,Oakland Athletics,"331,067","6,492",48,24,26,"$67,389,460 ","$16,775,000 ","$458,684 ","$5,735,000 ",-,"$85,760,089 "
2021,134,Pittsburgh Pirates,"409,608","8,905",44,29,26,"$36,000,392 ","$10,960,555 ","$423,631 ","$7,240,000 ",-,"$55,955,012 "
2021,135,San Diego Padres,"1,127,397","21,681",46,8,26,"$137,402,601 ","$36,280,935 ","$33,737 ","$4,564,600 ",-,"$174,045,529 "
2021,136,Seattle Mariners,"558,222","11,392",89,25,26,"$60,008,968 ","$15,786,893 ","$4,253,495 ","$6,280,500 ",-,"$80,961,605 "
2021,137,San Francisco Giants,"584,675","13,597",63,11,26,"$68,189,283 ","$65,019,149 ","$780,740 ","$5,893,500 ",-,"$153,969,898 "
2021,138,St. Louis Cardinals,"824,530","19,175",65,10,26,"$114,320,685 ","$34,829,214 ","$14,943,531 ","$7,460,900 ",-,"$165,766,279 "
2021,139,Tampa Bay Rays,"318,752","7,083",48,26,26,"$39,340,356 ","$20,464,400 ","$9,107,499 ","$4,002,300 ",-,"$69,335,827 "
2021,140,Texas Rangers,"1,297,908","27,615",66,19,26,"$46,407,902 ","$11,728,947 ","$34,687,128 ","$3,433,500 ",-,"$93,439,289 "
2021,141,Toronto Blue Jays,"161,313","4,033",72,14,26,"$105,997,633 ","$15,833,990 ","$20,317,369 ","$6,911,200 ",-,"$144,170,732 "
2021,142,Minnesota Twins,"621,484","13,223",43,16,27,"$113,909,757 ","$11,224,664 ","$138,015 ","$6,176,000 ",-,"$128,079,477 "
2021,143,Philadelphia Phillies,"637,805","14,833",70,5,26,"$147,749,076 ","$31,090,225 ","$420,562 ","$8,822,000 ",-,"$184,061,995 "
2021,144,Atlanta Braves,"1,331,203","27,733",86,13,26,"$106,501,302 ","$34,822,942 ","$312,476 ","$11,757,500 ",-,"$144,340,546 "
2021,145,Chicago White Sox,"674,049","14,341",120,15,26,"$94,203,433 ","$30,242,333 ","$8,751,573 ","$5,770,500 ",-,"$134,477,707 "
2021,146,Miami Marlins,"277,973","6,464",20,27,26,"$42,232,734 ","$7,259,006 ","$7,697,592 ","$6,863,875 ","$570,500 ","$58,510,681 "
2021,147,New York Yankees,"808,292","17,198",115,2,26,"$136,315,325 ","$59,950,630 ","$7,031,144 ","$1,711,500 ",-,"$203,401,377 "
2021,158,Milwaukee Brewers,"816,821","17,017",28,20,26,"$60,096,547 ","$21,198,418 ","$7,143,437 ","$10,496,166 ",-,"$93,383,590 "
